                    U.  S.  G E O L O G I C A L  S U R V E Y

                     E A R T H Q U A K E  D A T A  B A S E



 FILE CREATED:  Mon Jan 21 14:22:57 2008
 Circle Search   Earthquakes=      2592
 Circle Center Point Latitude:   62.499N  Longitude:   114.670W
 Radius:   20014.199 km
 Catalog Used: Preliminary Determination of Epicenters
 Date Range: Year:    2007  -   2007   Month: 01/Day: 01   Month: 12/Day: 31
 Magnitude Range:   5.0  -   9.0
 Depth Range:    0  -  900
 Data Selection: Historical & Preliminary Data


 CAT   YEAR   MO DA ORIG TIME   LAT    LONG  DEP  MAGNITUDE    DIST
                                                               km
                                                              

 PDE   2007   02 15 102333.41 -32.01 -177.50  10 5.30 Mw CMT  11854
 PDE   2007   02 15 102729.72 -32.06 -177.53  27 5.40 Mw CMT  11860
 PDE   2007   02 15 153836    -25.97  113.28  19 5.30 ML UST  14637
 PDE   2007   02 15 162745.46 -41.51  -89.20  10 5.00 Mw CMT  11740
 PDE   2007   02 15 182904.38  11.81  141.87  61 5.40 Mw S     9527
 PDE   2007   02 16 011528.18 -55.03  -26.46  35 5.10 mb GS   15079
 PDE   2007   02 16 082937.11 -35.08   53.98  10 5.00 Mw CMT  16850
 PDE   2007   02 17 000256.76  41.79  143.55  31 6.00 Mw S     6540
 PDE   2007   02 17 002227.49  41.77  143.60  35 5.30 Mw CMT   6540
 PDE   2007   02 17 032312.71  11.47  143.27   9 5.00 Mw CMT   9491
 PDE   2007   02 17 040152.83  -3.60  151.23 444 5.10 Mw CMT  10563
 PDE   2007   02 17 063120.08  -7.22  155.88  37 5.00 mb GS   10678
 PDE   2007   02 17 074333.68  -7.32  155.86  28 5.70 Mw CMT  10688
 PDE   2007   02 17 074749.58  -7.26  155.89  28 5.60 Mw CMT  10680
